Date,Clicks,Impressions,CTR,Position
2026-09-13,4,299,1.34%,24.6
2026-09-14,16,464,3.45%,22.4
2026-09-15,12,463,2.59%,19.7
2026-09-16,12,407,2.95%,17.2
2026-09-17,8,334,2.4%,13.5
2026-09-18,7,441,1.59%,16.8
2026-09-19,2,274,0.73%,17.9
